 WARN [2015-03-17 20:19:58,633] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-17 20:19:58,774] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-17 20:19:58,777] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-17 20:27:23,339] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-17 20:27:23,364] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-17 20:27:23,367] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-18 14:49:35,313] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-18 14:49:35,373] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-18 14:49:35,376] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-22 23:22:28,920] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-22 23:22:29,480] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-22 23:22:29,482] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-22 23:33:37,974] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-22 23:33:38,011] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-22 23:33:38,014] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-22 23:34:13,469] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-22 23:34:13,494] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-22 23:34:13,496] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-23 07:52:33,158] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-23 07:52:33,175] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-23 07:52:33,177] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-23 18:13:00,528] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-23 18:13:01,184] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-23 18:13:01,186] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-23 19:06:00,216] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-23 19:06:00,437] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-23 19:06:00,440] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-23 20:09:53,179] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-23 20:09:53,198] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-23 20:09:53,201] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-23 22:35:55,180] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-23 22:35:55,475] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-23 22:35:55,477] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-25 07:21:43,030] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-25 07:21:43,532] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-25 07:21:43,541] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-25 20:29:11,208] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-25 20:29:11,901] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-25 20:29:11,905] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-27 07:49:35,184] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-27 07:49:35,737] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-27 07:49:35,740] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-27 10:50:46,977] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-27 10:50:47,116] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-27 10:50:47,119] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
